Starting to train (PyTorch).
Iter 0001980: train nll 0.978, valid error 048.450%, best valid error 036.910%, avg grad norm  32.640, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.03, alpha  2.000, steps in the past 0.010, valid nll 0.966
Iter 0002000: train nll 0.967, valid error 043.960%, best valid error 036.910%, avg grad norm  32.051, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.03, alpha  2.000, steps in the past 0.010, valid nll 0.923
Iter 0002020: train nll 0.984, valid error 045.750%, best valid error 036.910%, avg grad norm  34.853, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.04, alpha  2.000, steps in the past 0.010, valid nll 1.015
Iter 0002040: train nll 0.971, valid error 047.930%, best valid error 036.910%, avg grad norm  35.131, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.03, alpha  2.000, steps in the past 0.010, valid nll 0.981
Iter 0002060: train nll 0.961, valid error 047.600%, best valid error 036.910%, avg grad norm  30.692, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.03, alpha  2.000, steps in the past 0.010, valid nll 0.951
Iter 0002080: train nll 0.933, valid error 043.550%, best valid error 036.910%, avg grad norm  24.769, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.02, alpha  2.000, steps in the past 0.010, valid nll 0.922
Iter 0002100: train nll 0.954, valid error 048.390%, best valid error 036.910%, avg grad norm  35.193, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.04, alpha  2.000, steps in the past 0.010, valid nll 0.938
Iter 0002120: train nll 0.937, valid error 045.080%, best valid error 036.910%, avg grad norm  32.926, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.03, alpha  2.000, steps in the past 0.010, valid nll 0.919
Iter 0002140: train nll 0.939, valid error 046.550%, best valid error 036.910%, avg grad norm  28.856, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.03, alpha  2.000, steps in the past 0.010, valid nll 0.942
Iter 0002160: train nll 0.939, valid error 048.040%, best valid error 036.910%, avg grad norm  37.622, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.04, alpha  2.000, steps in the past 0.010, valid nll 0.928
Iter 0002180: train nll 0.941, valid error 054.360%, best valid error 036.910%, avg grad norm  36.561, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.04, alpha  2.000, steps in the past 0.010, valid nll 1.018
Iter 0002200: train nll 0.935, valid error 046.510%, best valid error 036.910%, avg grad norm  38.295, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.04, alpha  2.000, steps in the past 0.010, valid nll 0.919
Iter 0002220: train nll 0.928, valid error 047.700%, best valid error 036.910%, avg grad norm  34.851, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.03, alpha  2.000, steps in the past 0.010, valid nll 0.904
Iter 0002240: train nll 0.907, valid error 045.330%, best valid error 036.910%, avg grad norm  27.979, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.03, alpha  2.000, steps in the past 0.010, valid nll 0.874
Iter 0002260: train nll 0.911, valid error 048.010%, best valid error 036.910%, avg grad norm  35.395, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.04, alpha  2.000, steps in the past 0.010, valid nll 0.924
Iter 0002280: train nll 0.906, valid error 050.470%, best valid error 036.910%, avg grad norm  30.833, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.03, alpha  2.000, steps in the past 0.010, valid nll 0.922
Iter 0002300: train nll 0.913, valid error 044.090%, best valid error 036.910%, avg grad norm  41.335, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.04, alpha  2.000, steps in the past 0.010, valid nll 0.892
Iter 0002320: train nll 0.884, valid error 059.430%, best valid error 036.910%, avg grad norm  27.913, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.02, alpha  2.000, steps in the past 0.010, valid nll 1.042
Iter 0002340: train nll 0.895, valid error 044.810%, best valid error 036.910%, avg grad norm  36.134, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.03, alpha  2.000, steps in the past 0.010, valid nll 0.885
Iter 0002360: train nll 0.905, valid error 046.110%, best valid error 036.910%, avg grad norm  40.522, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.04, alpha  2.000, steps in the past 0.010, valid nll 0.853
Iter 0002380: train nll 0.901, valid error 046.330%, best valid error 036.910%, avg grad norm  33.255, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.03, alpha  2.000, steps in the past 0.010, valid nll 0.999
Iter 0002400: train nll 0.892, valid error 046.430%, best valid error 036.910%, avg grad norm  38.387, avg grad norm (post clip)   1.000, rho_Whh  1.10, Omega  0.04, alpha  2.000, steps in the past 0.010, valid nll 0.866
Iter 0002420: train nll 0.879, valid error 047.040%, best valid error 036.910%, avg grad norm  29.778, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.03, alpha  2.000, steps in the past 0.010, valid nll 0.884
Iter 0002440: train nll 0.876, valid error 042.740%, best valid error 036.910%, avg grad norm  34.372, avg grad norm (post clip)   1.000, rho_Whh  1.10, Omega  0.03, alpha  2.000, steps in the past 0.010, valid nll 0.831
Iter 0002460: train nll 0.889, valid error 044.770%, best valid error 036.910%, avg grad norm  33.986, avg grad norm (post clip)   1.000, rho_Whh  1.10, Omega  0.03, alpha  2.000, steps in the past 0.010, valid nll 0.835
Iter 0002480: train nll 0.899, valid error 047.160%, best valid error 036.910%, avg grad norm  47.320, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.05, alpha  2.000, steps in the past 0.010, valid nll 0.844
Iter 0002500: train nll 0.860, valid error 048.810%, best valid error 036.910%, avg grad norm  26.679, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.02, alpha  2.000, steps in the past 0.010, valid nll 0.904
Iter 0002520: train nll 0.877, valid error 047.450%, best valid error 036.910%, avg grad norm  33.532, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.03, alpha  2.000, steps in the past 0.010, valid nll 0.855
Iter 0002540: train nll 0.879, valid error 047.020%, best valid error 036.910%, avg grad norm  34.274, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.04, alpha  2.000, steps in the past 0.010, valid nll 0.850
Iter 0002560: train nll 0.861, valid error 045.110%, best valid error 036.910%, avg grad norm  32.680, avg grad norm (post clip)   1.000, rho_Whh  1.09, Omega  0.03, alpha  2.000, steps in the past 0.010, valid nll 0.867
Iter 0002580: train nll 0.855, valid error 044.780%, best valid error 036.910%, avg grad norm  31.539, avg grad norm (post clip)   1.000, rho_Whh  1.10, Omega  0.02, alpha  2.000, steps in the past 0.010, valid nll 0.812
